data,NORDESTE,NORTE,SUDESTE,SUL
2016-01-01,4.88,14.85,17.14,98.12
2016-01-02,4.84,14.86,17.21,97.67
2016-01-03,4.8,14.88,17.29,97.35
2016-01-04,4.79,14.7,17.24,97.42
2016-01-05,4.79,14.56,17.15,97.53
2016-01-06,4.76,14.49,17.14,97.27
2016-01-07,4.86,14.42,17.07,97.06
2016-01-08,4.94,14.4,16.96,96.92
2016-01-09,5.02,14.56,16.98,96.92
2016-01-10,5.07,14.77,17.08,96.39
2016-01-11,5.04,14.86,17.12,95.72
2016-01-12,5.05,14.9,17.16,95.79
2016-01-13,5.09,14.92,17.23,95.89
2016-01-14,5.23,15.14,17.37,95.91
2016-01-15,5.36,15.53,17.68,95.84
2016-01-16,5.52,16.09,18.09,95.62
2016-01-17,5.72,16.68,18.47,95.82
2016-01-18,6.1,17.29,18.7,95.61
2016-01-19,6.6,17.83,18.9,95.43
2016-01-20,7.36,18.54,19.22,95.16
2016-01-21,8.24,19.42,19.69,94.79
2016-01-22,9.24,20.2,20.24,94.38
2016-01-23,10.55,21.03,20.88,94.03
2016-01-24,11.53,21.71,21.28,94.04
2016-01-25,12.44,22.17,21.57,93.67
2016-01-26,13.37,23.01,21.88,93.14
2016-01-27,14.32,24.02,22.39,93.0
2016-01-28,15.19,25.14,22.86,92.78
2016-01-29,15.86,26.39,23.27,92.45
2016-01-30,16.56,27.67,23.69,92.4
2016-01-31,17.21,29.45,24.05,93.07
2016-02-01,17.9,30.88,24.29,94.77
2016-02-02,18.65,31.99,24.42,96.43
2016-02-03,19.56,32.98,24.56,96.85
2016-02-04,20.27,33.83,24.71,97.21
2016-02-05,21.01,34.49,24.82,97.45
2016-02-06,21.62,35.24,24.92,97.55
2016-02-07,22.41,36.5,25.05,97.85
2016-02-08,23.05,37.53,25.15,97.26
2016-02-09,23.81,38.37,25.26,97.14
2016-02-10,24.54,38.51,25.34,97.02
2016-02-11,25.07,38.75,25.45,96.81
2016-02-12,25.76,39.1,25.56,96.58
2016-02-13,26.36,39.46,25.69,96.33
2016-02-14,26.86,39.87,25.8,96.39
2016-02-15,27.75,40.0,25.96,96.15
2016-02-16,28.29,40.02,26.12,96.13
2016-02-17,28.82,39.98,26.3,96.31
2016-02-18,29.34,39.98,26.48,96.22
2016-02-19,29.64,40.01,26.65,95.95
2016-02-20,29.94,40.36,26.82,95.84
2016-02-21,30.26,40.93,26.99,96.04
2016-02-22,30.47,41.16,27.07,95.89
2016-02-23,30.58,41.16,27.15,95.68
2016-02-24,30.71,41.28,27.21,95.6
2016-02-25,30.85,41.34,27.27,95.41
2016-02-26,30.96,41.34,27.32,95.16
2016-02-27,31.17,41.42,27.38,94.93
2016-02-28,31.3,41.96,27.46,94.8
2016-02-29,31.4,42.12,27.63,95.11
2016-03-01,31.5,43.54,27.78,95.17
2016-03-02,31.63,43.87,27.94,95.27
2016-03-03,31.78,44.09,28.11,95.54
2016-03-04,31.91,44.27,28.27,96.24
2016-03-05,32.09,44.68,28.41,96.81
2016-03-06,32.24,44.07,28.59,97.23
2016-03-07,32.32,44.25,28.71,97.47
2016-03-08,32.43,44.35,28.84,97.42
2016-03-09,32.64,44.57,28.99,97.49
2016-03-10,32.79,44.99,29.21,97.83
2016-03-11,32.88,45.39,29.46,98.22
2016-03-12,32.92,46.42,29.62,98.48
2016-03-13,32.96,47.71,29.8,98.36
2016-03-14,32.99,48.58,29.9,98.18
2016-03-15,32.95,49.27,29.99,97.83
2016-03-16,32.92,49.99,30.07,97.38
2016-03-17,32.99,50.54,30.12,96.73
2016-03-18,33.09,50.85,30.11,96.02
2016-03-19,33.17,51.64,30.13,95.51
2016-03-20,33.23,52.56,30.18,95.35
2016-03-21,33.32,52.84,30.19,95.16
2016-03-22,33.48,52.94,30.21,95.75
2016-03-23,33.58,53.01,30.24,95.99
2016-03-24,33.66,53.43,30.31,95.65
2016-03-25,33.75,54.39,30.41,96.31
2016-03-26,33.85,55.2,30.52,97.68
2016-03-27,33.95,56.13,30.61,98.06
2016-03-28,34.04,56.54,30.68,98.11
2016-03-29,34.14,56.77,30.76,98.11
2016-03-30,34.21,57.06,30.85,97.95
2016-03-31,34.3,57.71,30.93,97.59
2016-04-01,34.42,58.3,31.0,97.19
2016-04-02,34.47,58.99,31.03,96.91
2016-04-03,34.51,59.75,31.06,96.7
2016-04-04,34.53,60.2,31.06,96.0
2016-04-05,34.53,60.38,31.03,95.37
2016-04-06,34.49,60.55,31.04,94.62
2016-04-07,34.41,60.63,30.99,93.6
2016-04-08,34.37,60.72,30.97,92.69
2016-04-09,34.32,60.92,30.97,92.08
2016-04-10,34.25,61.29,30.97,92.05
2016-04-11,34.21,61.43,30.99,91.85
2016-04-12,34.17,61.47,30.99,91.55
2016-04-13,34.13,61.61,30.98,91.3
2016-04-14,34.07,61.8,31.0,91.17
2016-04-15,34.01,61.94,30.99,90.94
2016-04-16,33.98,62.21,30.99,91.01
2016-04-17,33.92,62.91,30.98,91.05
2016-04-18,33.82,63.12,30.96,90.62
2016-04-19,33.72,63.18,30.93,89.9
2016-04-20,33.62,63.23,30.87,89.17
2016-04-21,33.53,63.6,30.86,88.64
2016-04-22,33.47,63.6,30.84,88.19
2016-04-23,33.36,63.7,30.83,88.27
2016-04-24,33.26,64.06,30.81,88.26
2016-04-25,33.2,63.79,30.78,88.35
2016-04-26,33.15,63.37,30.73,88.55
2016-04-27,33.11,63.18,30.72,88.77
2016-04-28,33.01,63.22,30.69,88.87
2016-04-29,32.9,63.42,30.66,88.57
2016-04-30,32.79,63.8,30.66,88.67
2016-05-01,32.68,64.22,30.65,89.06
2016-05-02,32.57,64.37,30.63,88.65
2016-05-03,32.46,64.54,30.61,88.08
2016-05-04,32.34,64.74,30.59,87.4
2016-05-05,32.27,64.86,30.56,86.6
2016-05-06,32.21,64.78,30.53,86.0
2016-05-07,32.1,64.93,30.5,85.53
2016-05-08,32.0,65.18,30.45,85.78
2016-05-09,31.88,65.19,30.43,85.3
2016-05-10,31.76,65.26,30.4,84.72
2016-05-11,31.64,65.26,30.38,84.12
2016-05-12,31.54,65.15,30.35,83.46
2016-05-13,31.43,64.54,30.26,83.15
2016-05-14,31.31,64.54,30.23,83.32
2016-05-15,31.21,64.63,30.2,83.8
2016-05-16,31.11,64.09,30.17,84.27
2016-05-17,31.04,63.47,30.11,84.63
2016-05-18,30.97,63.24,30.11,84.49
2016-05-19,30.91,63.24,30.12,84.07
